suburb,city,Count
Millgrove,Yarra Ranges,7
Mount Evelyn,Yarra Ranges,7
Ringwood North,Maroondah,7
Tecoma,Yarra Ranges,7
The Basin,Knox,7
Victoria,Melbourne,7
Wandin North,Yarra Ranges,7
Belgrave Heights,Yarra Ranges,6
Carlton,Yarra,6
Clyde North,Casey,6
Diamond Creek,Nillumbik,6
East Warburton,Yarra Ranges,6
Gardenvale,Glen Eira,6
Gladstone Park,Hume,6
Gowanbrae,Moreland,6
Hallam,Casey,6
Keilor Park,Brimbank,6
Lower Plenty,Banyule,6
Menzies Creek,Yarra Ranges,6
Narre Warren North,Casey,6
North Warrandyte,Nillumbik,6
Oakleigh South,Kingston,6
Roxburgh Park,Hume,6
Sherbrooke,Yarra Ranges,6
Steels Creek,Yarra Ranges,6
Wollert,Whittlesea,6
Wonga Park,Manningham,6
Carrum Downs,Frankston,5
Clarinda,Kingston,5
Derrimut,Brimbank,5
Diggers Rest,Hume,5
Eaglemont,Banyule,5
East Brunswick,Moreland,5
Huntingdale,Monash,5
Hurstbridge,Nillumbik,5
Jacana,Hume,5
Kooyong,Stonnington,5
Melton West,Melton,5
Niddrie,Moonee Valley,5
Noble Park North,Greater Dandenong,5
Oaklands Junction,Hume,5
Panton Hill,Nillumbik,5
Research,Nillumbik,5
Seabrook,Hobsons Bay,5
Smiths Gully,Nillumbik,5
Strathmore,Moonee Valley,5
Tarrawarra,Yarra Ranges,5
Werribee South,Wyndham,5
,Port Phillip,4
Aberfeldie,Moonee Valley,4
Albion,Brimbank,4
Avondale Heights,Moonee Valley,4
Bayswater North,Maroondah,4
Brighton East,Glen Eira,4
"Brighton East, Melbourne",Bayside,4
Brunswick,Melbourne,4
Bulla,Hume,4
Cairnlea,Brimbank,4
Caulfield North,Stonnington,4
Chelsea Heights,Kingston,4
Christmas Hills,Nillumbik,4
Clayton,Kingston,4
Cranbourne,Casey,4
Deer Park,Brimbank,4
Doveton,Casey,4
East Doncaster,Manningham,4
Eynesbury,Melton,4
Fairfield,Yarra,4
Heathmont,Maroondah,4
Hillside,Melton,4
Keilor,Brimbank,4
Lyndhurst,Casey,4
Macclesfield,Yarra Ranges,4
Macleod,Banyule,4
Melbourne,Glen Eira,4
Melbourne,Hobsons Bay,4
Melbourne,Manningham,4
Melbourne,Monash,4
Mitcham,Maroondah,4
Mt Waverley,Monash,4
Northcote,Yarra,4
Plumpton,Melton,4
Selby,Yarra Ranges,4
St Kilda East,Glen Eira,4
St. Kilda,Port Phillip,4
Taylors Hill,Melton,4
Tonimbuk,Cardinia,4
VIC,Melbourne,4
Warneet,Casey,4
Beaconsfield,Cardinia,3
Beaconsfield Upper,Cardinia,3
Brunswick West,Melbourne,3
Delahey,Brimbank,3
Don Valley,Yarra Ranges,3
Elwood,Bayside,3
"Elwood, Melbourne",Port Phillip,3
"Elwood, St. Kilda",Port Phillip,3
Essendon North,Moonee Valley,3
Fitzroy,Melbourne,3
Ivanhoe East,Banyule,3
Kilsyth,Maroondah,3
Kilsyth,Yarra Ranges,3
