Suburb,CouncilArea,Count
Oakleigh East,,1
Officer,Cardinia,1
Plumpton,,1
Preston,Banyule,1
Princes Hill,,1
Riddells Creek,Macedon Ranges,1
Rockbank,Melton,1
Sandhurst,Frankston,1
Southbank,Port Phillip,1
Springvale South,Greater Dandenong,1
St Helena,,1
Strathmore Heights,,1
Tarneit,,1
The Basin,,1
Toorak,,1
Truganina,,1
Upwey,Yarra Ranges,1
Wallan,,1
Waterways,,1
Waterways,Kingston,1
Watsonia North,,1
Whittlesea,Whittlesea,1
Williams Landing,,1
Williams Landing,Wyndham,1
Williamstown North,,1
Wonga Park,Manningham,1
Wyndham Vale,,1
Yallambie,,1
Yarra Glen,Yarra Ranges,1
